Timestamp,How old are you?,What industry is your employer in?,What is the functional area of your job (this might be different from your company's industry)?,Job title,"If your job title needs additional context, please clarify here:","What is your annual salary? This should be your GROSS (pre-tax) income. (You'll indicate the currency in a later question.) If you are part-time or hourly, please enter an annualized equivalent -- what you would earn if you worked the job 40 hours a week, 52 weeks a year.","How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Only include monetary compensation here, not the value of benefits, tuition reimbursement, etc. If your bonus or overtime varies from year to year, use the most recent figures.",Please indicate the currency,"If ""Other,"" please indicate the currency here: ","If your income needs additional context, please provide it here:",What country do you work in? (Countries listed had by far the largest representation last year. Please write in your country if it's not listed.),"If you're in the U.S., what state do you work in?",What city/region do you work in?,Are you remote or on-site?,Is your job unionized?,How many years of professional work experience do you have overall?,How many years of professional work experience do you have in your field?,What is your highest level of education completed?,What is your gender?,What is your race? (Choose all that apply.),,,,,,
4-23-2024 13:38:20,45-54,"Galleries, Libraries, Archives & Museums",Government & Public Administration,Assistant Director,,90,,USD,,,United States,Massachusetts,Northeast,On-site,No,21-30 years,21-30 years,Master's degree,Woman,White,,,,,,
4-23-2024 13:53:17,35-44,Computing or Tech,,Business Operations Manager,,177000,0,USD,,My employer decided to not contribute to my 401k and instead increased by salary by $9k. ,United States,Washington,Seattle,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-23-2024 14:18:39,45-54,Education (Higher Education),Biotechnology & Pharma,Process Development & Manufacturing Scientist II,,85030,0,USD,,,United States,Wisconsin,Madison,On-site,No,21-30 years,8-10 years,Doctorate,Woman,White,,,,,,
4-23-2024 14:55:50,35-44,Nonprofits,Administration,Archives & Records Manager,,64449,1000,USD,,,United States,New York,New York City,Hybrid,Yes,11-20 years,8-10 years,Master's degree,Man,White,,,,,,
4-23-2024 16:38:36,25-34,Nonprofits,Agriculture or Forestry,Horticulturist,,26000,200,GBP,,,United Kingdom,,Yorkshire,On-site,No,5-7 years,5-7 years,Some college,Non-binary,White,,,,,,
4-23-2024 17:46:25,25-34,"Marketing, Advertising & PR","Marketing, Advertising & PR",Senior Account Manager,Advertising account manager,90000,,CAD,,,Canada,,"Toronto, ON",Hybrid,No,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",,,,,,
4-23-2024 18:17:52,25-34,Health care,"Marketing, Advertising & PR",strategic planner,,70000,1500,USD,,,United States,Illinois,chicago,Fully remote,No,2-4 years,2-4 years,College degree,Woman,White,,,,,,
4-23-2024 18:34:01,45-54,Computing or Tech,Business or Consulting,Customer Success Manager,,82000,10000,USD,,,United States,New Jersey,no region,Fully remote,No,31-40 years,21-30 years,College degree,Woman,White,,,,,,
4-23-2024 19:08:47,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Youth Services Librarian,Library Services to Children and Teens,67000,0,USD,,,United States,Rhode Island,Cranston,On-site,Yes,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-23-2024 19:46:42,55-64,"Accounting, Banking & Finance",Administration,Senior Administrative Assistant,,101940,,USD,,,United States,California,San Diego,Hybrid,No,21-30 years,21-30 years,College degree,Woman,Another option not listed here or prefer not to answer,,,,,,
4-23-2024 21:16:55,45-54,Education (Primary/Secondary),Education (Primary/Secondary),"Office Manager, Board of Education",Our Board of Education Office only has a limited staff of six (6),52000,6000,USD,,,Northern Mariana Islands,,"Saipan, CNMI ",On-site,No,21-30 years,21-30 years,Some college,Woman,Another option not listed here or prefer not to answer,,,,,,
4-23-2024 22:29:32,35-44,Aerospace & Defense,Aerospace & Defense,Aircraft Maintenance Engineer,,87500,12500,CAD,,The extra income is from a daily pay rate while traveling for work,Canada,,"Calgary, Alberta",On-site,No,11-20 years,11-20 years,Some college,Woman,White,,,,,,
4-23-2024 23:38:17,35-44,"Accounting, Banking & Finance",Art & Design,Senior Presentation Specialist ,,73000,0,USD,,,United States,Texas,Houston,On-site,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-24-2024 0:52:19,35-44,Computing or Tech,Trust & Safety,Trust & Safety Policy Manager,,285000,,USD,,,United States,California,San Francisco Bay Area,Hybrid,No,11-20 years,11-20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,,,,
4-24-2024 2:01:28,25-34,Art & Design,Nonprofits,Operations Manager,I run the operations of an arts festival,86000,0,AUD,,,Australia,,Western Australia,On-site,No,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-24-2024 6:35:06,25-34,Publishing,Media & Digital,Senior Production Editor,,34500,0,GBP,,,United Kingdom,,oxfordshire,Hybrid,Yes,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-24-2024 8:56:34,25-34,"Leisure, Sport & Tourism","Marketing, Advertising & PR",Assistant Manager - Editorial,,110000,14600,USD,,Tax free,Saudi Arabia,,Riyadh,On-site,No,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-24-2024 9:17:05,25-34,environmental,Administration,Operations Manager,,31000,,GBP,,,United Kingdom,,Nottingham,Other/it's complicated,No,2-4 years,2-4 years,Master's degree,Woman,White,,,,,,
4-24-2024 12:35:11,35-44,Nonprofits,Nonprofits,Senior Director,,100000,4000,USD,,,United States,New York,New York,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,Asian or Asian American,,,,,,
4-24-2024 12:51:49,35-44,Recruitment or HR,"Accounting, Banking & Finance",Senior Payroll Coordinator,,60690,3000,USD,,,United States,Texas,Houston,Hybrid,No,11-20 years,8-10 years,Associate's degree,Woman,White,,,,,,
4-24-2024 13:27:14,35-44,Computing or Tech,Recruitment or HR,Executive Recruiter,,160000,65000,USD,,,United States,California,San Francisco,Hybrid,No,11-20 years,8-10 years,College degree,Woman,"Asian or Asian American, White",,,,,,
4-24-2024 13:41:48,25-34,Engineering,Engineering,Electrical Engineer,,98017,21881,USD,,,United States,Virginia,Chantilly,On-site,No,5-7 years,5-7 years,College degree,Man,White,,,,,,
4-24-2024 14:00:13,35-44,Manufacturing,Environmental ,Product Stewardship,,95000,0,USD,,,United States,Ohio,Cleveland,Hybrid,No,11-20 years,5-7 years,College degree,Woman,White,,,,,,
4-24-2024 15:41:02,45-54,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Executive Director,,90000,,USD,,,United States,Pennsylvania,Greater Philadelphia Region,On-site,No,31-40 years,31-40 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,,,,,,
4-24-2024 16:03:32,35-44,Sales,Sales,Regional Account Sales Coordinator,Sales Support,68000,15000,CAD,,,Canada,,"Edmonton, Alberta",Fully remote,No,11-20 years,2-4 years,Associate's degree,Woman,White,,,,,,
4-24-2024 16:14:34,45-54,Health care,Nonprofits,Prospect Research Analyst,Prospect research for fundraising division,88000,0,USD,,,United States,New York,New York,Fully remote,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-24-2024 16:17:16,35-44,Computing or Tech,Education (Higher Education),"Instructor, Back End Engineering",,106000,,USD,,,United States,Illinois,Remote,Fully remote,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-24-2024 17:47:30,25-34,Education (Primary/Secondary),Social Work,School Clinician,,70188,,USD,,,United States,Pennsylvania,Philadelphia,On-site,No,8-10 years,8-10 years,Master's degree,Woman,Asian or Asian American,,,,,,
4-24-2024 18:37:35,25-34,"Accounting, Banking & Finance",Computing or Tech,Senior Front-End Web Developer ,,100000,15000,CAD,,,Canada,,Toronto (office) - Winnipeg (home),Fully remote,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
4-24-2024 23:43:48,25-34,Computing or Tech,Computing or Tech,Software engineer ,,125000,,NZD,,,NZ,,Manawatu,Fully remote,No,11-20 years,11-20 years,High School,Man,White,,,,,,
4-25-2024 1:16:03,35-44,Education (Higher Education),Education (Higher Education),Associate Professor,,122000,3000,CAD,,,Canada,,Vancouver,Hybrid,Yes,21-30 years,11-20 years,Doctorate,Woman,White,,,,,,
4-25-2024 10:07:02,35-44,Business or Consulting,Business or Consulting,Senior Vice President,,165000,25000,USD,,,United States,Pennsylvania,Pittsburgh,Other/it's complicated,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-25-2024 10:07:04,25-34,Education (Higher Education),Administration,Assistant Registrar,,53000,,USD,,,United States,Massachusetts,Western Massachusetts,Hybrid,No,5-7 years,5-7 years,Some college,"Woman, Non-binary",White,,,,,,
4-25-2024 10:50:58,25-34,Nonprofits,Education (Higher Education),Program Manager,Project management of higher ed programs,125000,,USD,,,United States,New York,New York City,Fully remote,No,8-10 years,5-7 years,College degree,Woman,Asian or Asian American,,,,,,
4-25-2024 15:25:16,25-34,Nonprofits,"Marketing, Advertising & PR",Content Development Specialist,"AKA digital marketing copywriting, editing, proofreading",82900,600,USD,,,United States,Pennsylvania,Philadelphia,Hybrid,No,5-7 years,2-4 years,Master's degree,Woman,White,,,,,,
4-25-2024 16:58:44,35-44,Health care,Government Affairs & Lobbying,Chief of Behavioral Health Policy,,120000,,USD,,"Sometimes we get bonuses, which have ranged from $4-7K. Sometimes we do not. ",United States,Texas,austin ,Hybrid,No,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-25-2024 17:01:10,25-34,Media & Digital,Computing or Tech,Senior Software Engineer,,53000,,GBP,,,United Kingdom,,Aberdeen,Fully remote,No,2-4 years,2-4 years,College degree,Woman,White,,,,,,
4-25-2024 18:07:11,25-34,"Accounting, Banking & Finance","Accounting, Banking & Finance",Assistant Vice President - Back Office Operations ,,81050,6000,USD,,,United States,Massachusetts,Greater Boston Area,Hybrid,No,8-10 years,8-10 years,College degree,Woman,White,,,,,,
4-25-2024 18:43:57,35-44,Biotechnology & Pharma,"Galleries, Libraries, Archives & Museums",Specialist,Librarian,120000,0,AUD,,,Australia,,Victoria,Hybrid,Yes,11-20 years,11-20 years,Master's degree,Non-binary,White,,,,,,
4-25-2024 19:01:10,25-34,Government & Public Administration,environment/conservation,project manager ,botanist,90000,0,USD,,,United States,Illinois,Chicago,Hybrid,No,11-20 years,11-20 years,College degree,Woman,,,,,,,
4-25-2024 20:20:49,35-44,Heath Information Tech and Management ,Operations,Onsite Regional Supervisor ,Payer Operations - Onsite Dept ,54000,1000,USD,,,United States,Florida,North Central Florida ,Fully remote,No,11-20 years,8-10 years,Associate's degree,Woman,White,,,,,,
4-25-2024 20:42:24,45-54,Insurance,Computing or Tech,IT Asset Management,,110000,11000,USD,,"Performance bonus, up to 10% of annual salary",United States,New Jersey,North Jersey,Hybrid,No,11-20 years,5-7 years,Some college,Woman,White,,,,,,
4-25-2024 20:50:23,45-54,Media & Digital,Entertainment,Co-Executive Producer ,Unscripted Television ,249600,0,USD,,Freelance worker who does not work 52 weeks per year,United States,California,Los Angeles ,Fully remote,No,21-30 years,21-30 years,College degree,Woman,Black or African American,,,,,,
4-25-2024 22:01:14,55-64,Government & Public Administration,Disability claims,QA Analyst,,75775,4000,USD,,,United States,Arizona,Phoenix,Hybrid,No,11-20 years,5-7 years,College degree,Woman,White,,,,,,
4-25-2024 23:07:26,35-44,Biotechnology & Pharma,Engineering,Senior Human Factors Engineer,,135000,,USD,,,United States,Minnesota,Twin Cities,Hybrid,No,11-20 years,5-7 years,Doctorate,"Woman, Other or prefer not to answer",White,,,,,,
4-26-2024 0:11:39,25-34,Nonprofits,Nonprofits,Senior Project Coordinator,,72500,,USD,,,United States,Massachusetts,Boston,Hybrid,No,8-10 years,8-10 years,College degree,Non-binary,Asian or Asian American,,,,,,
4-26-2024 8:39:36,35-44,Education (Higher Education),Computing or Tech,Software Engineer II,,96645,3000,USD,,"Overtime + occasional, unpredictable bonuses of around $250",United States,Wisconsin,Appleton,Fully remote,No,21-30 years,11-20 years,Master's degree,Man,White,,,,,,
4-26-2024 10:56:46,45-54,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Tribal Librarian,librarian for a sovereign native nation,58260,0,USD,,,United States,Michigan,mid-Michigan,Other/it's complicated,No,21-30 years,21-30 years,Master's degree,Woman,White,,,,,,
4-26-2024 11:18:03,45-54,Law Enforcement & Security,Law Enforcement & Security,Executive Assistant,Exec Assistant to Police Admin (Chief/Captain) & Department Crime Analyst,58146,0,USD,,,United States,Wisconsin,Port Washington,On-site,No,31-40 years,5-7 years,Some college,Woman,White,,,,,,
4-26-2024 15:58:37,35-44,Computing or Tech,Computing or Tech,Software Engineer,,127000,0,USD,,,United States,Indiana,Indianapolis,Fully remote,No,11-20 years,5-7 years,College degree,Woman,White,,,,,,
4-26-2024 16:52:16,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Teen Services Librarian,,48000,0,USD,,,United States,Utah,Salt Lake County,On-site,No,5-7 years,5-7 years,Master's degree,Other or prefer not to answer,"Hispanic, Latino, or Spanish origin, White",,,,,,
4-26-2024 17:38:23,25-34,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,,53000,,USD,,,United States,Oregon,Southern oregon,On-site,Yes,11-20 years,5-7 years,Master's degree,"Man, Non-binary",White,,,,,,
4-26-2024 19:25:53,25-34,"Galleries, Libraries, Archives & Museums",Administration,Director of Library Services,,58240,,USD,,,United States,Washington,SE Washington,On-site,No,11-20 years,5-7 years,Master's degree,Woman,White,,,,,,
4-27-2024 1:52:19,35-44,Food Service,Law,IP Paralegal,,90000,10000,USD,,,United States,Illinois,Chicago,Hybrid,No,11-20 years,8-10 years,College degree,Woman,Asian or Asian American,,,,,,
4-27-2024 9:05:35,45-54,Insurance,Computing or Tech,Projects Program Portfolio Manager,Manage a Portfolio of Projects,177000,35400,AUD,,,Australia,,Sydney,Hybrid,No,21-30 years,21-30 years,Master's degree,Man,Asian or Asian American,,,,,,
4-27-2024 19:05:26,25-34,Science,Science,Postdoctoral Fellow,,83000,2000,USD,,"""bonuses"" from panel reviews, honoraria, etc.",United States,Maryland,Greenbelt,Hybrid,No,5-7 years,2-4 years,Doctorate,Non-binary,White,,,,,,
4-27-2024 23:02:24,25-34,Biotechnology & Pharma,Science,Sr. Administrative Assistant ,,91000,6800,USD,,,United States,Massachusetts,Boston,Fully remote,No,8-10 years,5-7 years,Master's degree,Non-binary,White,,,,,,
4-28-2024 2:16:05,35-44,Computing or Tech,Engineering,Data Center Chief Engineer,,146000,,USD,,,United States,Oregon,Hermiston,On-site,No,8-10 years,8-10 years,Some college,Man,,,,,,,
4-28-2024 9:04:56,35-44,Education (Higher Education),Education (Higher Education),Senior Director in Academic Affairs,"Comparable to an associate dean-level job, most likely. ",103000,0,USD,,,United States,Massachusetts,"Boston, MA",Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-28-2024 11:38:13,25-34,"Accounting, Banking & Finance","Accounting, Banking & Finance",Salesforce Marketing Cloud Specialist,,110000,20000,USD,,,United States,Minnesota,Minneapolis,Hybrid,No,5-7 years,5-7 years,College degree,Woman,White,,,,,,
4-28-2024 18:23:45,45-54,Nonprofits,Administration,Secretary,,47712,0,GBP,,,United Kingdom,,"Surrey, UK",Fully remote,No,21-30 years,5-7 years,Master's degree,Woman,White,,,,,,
4-28-2024 19:48:28,35-44,Aerospace & Defense,Engineering,System Engineer,,70000,0,USD,,,United States,Pennsylvania,Eastern PA,On-site,No,2-4 years,2-4 years,Master's degree,Woman,White,,,,,,
4-28-2024 21:20:57,25-34,Business or Consulting,Business or Consulting,Senior Consultant,,123938,6300,USD,,,United States,Pennsylvania,Philadelphia,Hybrid,No,5-7 years,5-7 years,Master's degree,Woman,White,,,,,,
4-28-2024 22:53:12,35-44,Health care,Health care,Chaplain,,57300,500,USD,,,United States,Alabama,Central Alabama,On-site,No,11-20 years,11-20 years,Doctorate,Man,Middle Eastern or Northern African,,,,,,
4-28-2024 23:44:34,45-54,Education (Primary/Secondary),Administration,Data and special projects manager,,110000,0,USD,,,United States,New York,New York,Fully remote,No,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-29-2024 14:17:24,35-44,Computing or Tech,Utilities & Telecommunications,IT Manager,,45000,,EUR,,,Estonia,,Harjumaa,Hybrid,No,21-30 years,8-10 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,,,,,,
4-29-2024 15:20:03,55-64,Government & Public Administration,Government & Public Administration,Buildings and Energy Program Manager,,140000,0,USD,,,United States,Washington,Seattle,Hybrid,No,31-40 years,11-20 years,Master's degree,Woman,White,,,,,,
4-29-2024 16:16:06,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Librarian,Adult & Reference Services,68500,,USD,,,United States,Wisconsin,Eastern Wisconsin,On-site,,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-29-2024 16:20:12,65 or over,Education (Higher Education),Education (Higher Education),Instructor,,65000,0,USD,,,United States,Georgia,Metro Atlanta,Fully remote,No,41 years or more,21-30 years,College degree,Woman,White,,,,,,
4-29-2024 18:08:36,35-44,Engineering,Manufacturing,Lead engineer,,175000,15000,USD,,,United States,California,Los Angeles,Hybrid,No,11-20 years,11-20 years,College degree,Man,Asian or Asian American,,,,,,
4-29-2024 23:28:40,45-54,Military ,Training ,Program Analyst ,,81300,0,USD,,,United States,Washington,Whidbey Island ,On-site,No,21-30 years,21-30 years,College degree,Woman,White,,,,,,
4-30-2024 4:16:28,25-34,Nonprofits,Nonprofits,grant writer,,78500,,USD,,,United States,Washington,Seattle,Hybrid,No,8-10 years,5-7 years,Doctorate,Woman,White,,,,,,
4-30-2024 8:15:21,45-54,"Accounting, Banking & Finance",Administration,Executive Assistant to CEO,,80000,0,USD,,,United States,Virginia,Tidewater,On-site,No,21-30 years,11-20 years,High School,Woman,White,,,,,,
4-30-2024 9:58:57,35-44,Science,Science,Equality and Diversity Manager,,34000,,GBP,,,United Kingdom,,England,Hybrid,No,11-20 years,5-7 years,College degree,Woman,White,,,,,,
4-30-2024 10:26:24,35-44,Health care,Administration,Administrative Assistant,,44990,,USD,,,United States,Ohio,cincinnati,Hybrid,No,11-20 years,5-7 years,Associate's degree,Woman,White,,,,,,
4-30-2024 13:34:37,35-44,Media & Digital,Computing or Tech,Sr Solutions Developer,,120000,0,USD,,,United States,Illinois,Chicago area,Fully remote,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-30-2024 14:45:48,45-54,Computing or Tech,"Marketing, Advertising & PR",Technical Producer,Email,90000,,USD,,,United States,Washington,Seattle,Fully remote,No,11-20 years,5-7 years,Associate's degree,Woman,White,,,,,,
4-30-2024 15:17:24,35-44,Education (Higher Education),Shared Services,Project Manager,,65000,,USD,,,United States,Illinois,Chicago area,Fully remote,No,21-30 years,5-7 years,College degree,Woman,White,,,,,,
4-30-2024 16:01:42,35-44,Law,Administration,Administrative Assistant,,38000,0,CAD,,,Canada,,Southwestern Ontario,On-site,No,11-20 years,11-20 years,Associate's degree,Woman,White,,,,,,
4-30-2024 18:10:36,35-44,Computing or Tech,Media & Digital,Visual Project Coordinator,,63000,1000,USD,,,United States,Washington,Seattle,Fully remote,No,11-20 years,8-10 years,College degree,Woman,White,,,,,,
5-1-2024 9:50:04,25-34,Transport or Logistics,Project Management,Lean Engineer,Essentially Project Management,52000,,EUR,,,Germany,,Bremen,Hybrid,Yes,1 year or less,1 year or less,Master's degree,Man,White,,,,,,
5-1-2024 10:17:51,25-34,Property or Construction,Sales,Residential Hardscape & Landscape Designer,,54000,800,USD,,,United States,Ohio,Columbus,On-site,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
5-1-2024 12:15:17,25-34,"Marketing, Advertising & PR","Marketing, Advertising & PR",Onboarding Specialist,,88,2000,USD,,,United States,Florida,orlando,Fully remote,No,2-4 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",,,,,,
5-1-2024 13:29:39,35-44,Computing or Tech,Education (Primary/Secondary),Senior Education Systems Manager,Project/Product Management,75000,0,USD,,,United States,New York,Buffalo,Hybrid,No,21-30 years,11-20 years,Doctorate,Woman,White,,,,,,
5-1-2024 17:09:04,35-44,Computing or Tech,Computing or Tech,Technical Program Manager,,214000,110000,USD,,additional compensation can have decent variance,United States,Washington,Seattle,Hybrid,No,11-20 years,11-20 years,Master's degree,Man,Asian or Asian American,,,,,,
5-1-2024 17:19:57,35-44,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Librarian,,112000,,USD,,,United States,Illinois,Chicago,On-site,Yes,11-20 years,11-20 years,Master's degree,,,,,,,,
5-1-2024 17:31:04,35-44,Nonprofits,Computing or Tech,Data Officer,,32800,0,GBP,,,United Kingdom,,London,Hybrid,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
5-1-2024 23:31:04,25-34,Education (Higher Education),Administration,Research Support Officer,,30650,0,GBP,,,United Kingdom,,"Liverpool, UK",Hybrid,Yes,2-4 years,2-4 years,Master's degree,Woman,White,,,,,,
5-2-2024 3:15:27,35-44,Property or Construction,Administration,Office Manager ,,91000,11840,USD,,,United States,California,Los Angeles,On-site,No,11-20 years,11-20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,,,,
5-2-2024 4:56:23,35-44,Health care,Health care,Nurse Clinician III,Registered nurse,90725,8190,USD,,,United States,Texas,Texarkana,On-site,No,5-7 years,21-30 years,College degree,Woman,Black or African American,,,,,,
5-2-2024 9:36:46,25-34,Aerospace & Defense,Communications,Communications Analyst Sr,(Technical Writer),84500,0,USD,,,United States,Indiana,Indianapolis,Hybrid,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
5-2-2024 10:22:37,35-44,Oil and gas,Risk management,Senior risk analyst,,175525,26000,USD,,,United States,Texas,Houston,Hybrid,No,11-20 years,5-7 years,College degree,Man,White,,,,,,
5-2-2024 10:26:06,35-44,Science,Communications,Science editor ,,90000,,USD,,,United States,Texas,Houston ,Fully remote,No,11-20 years,11-20 years,College degree,Woman,"Asian or Asian American, White",,,,,,
5-2-2024 10:28:33,35-44,Computing or Tech,Computing or Tech,Principal Software Engineer,,210000,150000,USD,,,United States,Washington,Seattle,Fully remote,No,11-20 years,11-20 years,College degree,Man,White,,,,,,
5-2-2024 11:13:33,35-44,Aerospace & Defense,Engineering,Chief Engineer,Materials and processes ,142000,700,USD,,,United States,Texas,Houston,On-site,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
5-2-2024 11:53:39,35-44,Computing or Tech,Computing or Tech,Data Analyst,,101000,,USD,,,United States,Colorado,Denver,Hybrid,No,11-20 years,11-20 years,College degree,Man,White,,,,,,
5-2-2024 13:12:41,35-44,Computing or Tech,"Marketing, Advertising & PR",product marketing manager,,134000,35000,USD,,,United States,Washington,Seattle,Hybrid,No,11-20 years,5-7 years,Master's degree,Woman,White,,,,,,
5-2-2024 18:57:43,35-44,Engineering,Administration,Office Manager,,48000,,USD,,,United States,Idaho,Idaho Falls,On-site,No,11-20 years,8-10 years,High School,Woman,Black or African American,,,,,,
5-3-2024 13:40:43,35-44,Property or Construction,Real Estate,Senior Property Manager,,68952,15000,USD,,,United States,Connecticut,Tolland,On-site,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
5-3-2024 15:17:31,55-64,Insurance,Computing or Tech,Sr. Software Engineer,,127500,6500,USD,,,United States,Arizona,Phoenix,Hybrid,No,31-40 years,31-40 years,College degree,Man,White,,,,,,
5-3-2024 18:03:05,35-44,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Librarian,,98000,,CAD,,,Canada,,"Vancouver, British Columbia",Hybrid,Yes,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
5-3-2024 18:17:11,45-54,Education (Higher Education),"Accounting, Banking & Finance",User Support Manager,,108000,,USD,,,United States,California,SF Bay Area,Fully remote,No,21-30 years,11-20 years,College degree,Woman,White,,,,,,
5-4-2024 8:43:48,35-44,Nonprofits,Science,Senior Vice President of Research,,275000,20000,USD,,,United States,District of Columbia,Washington,Hybrid,No,11-20 years,11-20 years,Doctorate,Woman,White,,,,,,
5-4-2024 9:22:13,25-34,Education (Higher Education),Administration,Senior operations coordinator,,63000,,USD,,,United States,District of Columbia,Washington DC,Hybrid,No,2-4 years,1 year or less,College degree,Woman,White,,,,,,
5-4-2024 14:34:27,35-44,Computing or Tech,Computing or Tech,Staff site reliability engineer,,231000,110000,USD,,,United States,Colorado,Denver,Fully remote,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
5-5-2024 18:33:37,35-44,Computing or Tech,"Marketing, Advertising & PR",Marketing Automation Manager,,79000,,USD,,,United States,Oregon,Portland,Fully remote,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
5-5-2024 19:54:17,35-44,Biotechnology & Pharma,Law,Commercial Counsel,,155000,23250,USD,,,United States,Indiana,Indianapolis,Hybrid,No,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Man,White,,,,,,
5-6-2024 3:31:11,35-44,Government & Public Administration,Government & Public Administration,Functional Consultant,"IT person, full time employed not as a consultant.",124000,,NZD,,,New Zealand,,Auckland,Hybrid,Yes,21-30 years,11-20 years,Some college,Woman,White,,,,,,
5-6-2024 9:04:01,35-44,Computing or Tech,Computing or Tech,"Supervisor, Software Developers",,98400,2000,USD,,,United States,Massachusetts,Fall River,Hybrid,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
5-6-2024 10:36:18,35-44,"Accounting, Banking & Finance",Law,National Director,,190000,100000,USD,,,United States,Illinois,Chicago,Hybrid,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
5-6-2024 14:00:15,45-54,Government & Public Administration,Government & Public Administration,Electronic Resources Librarian,,62700,0,USD,,,United States,Texas,Houston Area,On-site,No,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
5-6-2024 17:57:02,25-34,Science,Science,Scientist 3,Out of 5 levels,162000,20000,USD,,,United States,New Mexico,Los Alamos,On-site,No,11-20 years,11-20 years,Doctorate,Woman,White,,,,,,
5-6-2024 18:11:15,18-24,Nonprofits,Nonprofits,Program Associate,,50300,,USD,,,United States,District of Columbia,Washington,Fully remote,No,2-4 years,2-4 years,College degree,Woman,White,,,,,,
5-7-2024 7:29:14,35-44,Education (Higher Education),Education (Higher Education),Assistant professor ,6th year,122000,0,USD,,"Only actually paid 9 months, salary listed is if it were 12",United States,Pennsylvania,State College,On-site,No,8-10 years,8-10 years,Doctorate,Woman,White,,,,,,
5-7-2024 10:57:05,55-64,Health care,Computing or Tech,network administrator,,85000,,EUR,,,Germany,,Berlin,Hybrid,Yes,31-40 years,11-20 years,Master's degree,Man,White,,,,,,
5-7-2024 12:16:58,35-44,Nonprofits,Science,Senior Manager,,95000,0,USD,,,United States,District of Columbia,"Washington, DC",Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,Asian or Asian American,,,,,,
5-7-2024 14:47:00,35-44,Supply Chain Management,Recruitment or HR,HRIS Coordinator,,52000,0,USD,,,United States,Washington,Seattle,Hybrid,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
5-7-2024 15:21:53,45-54,Supply Chain Management,Computing or Tech,Director of Automation,,180000,45000,USD,,,United States,Minnesota,Twin Cities,Fully remote,No,21-30 years,21-30 years,Master's degree,Woman,Another option not listed here or prefer not to answer,,,,,,
5-7-2024 18:52:47,25-34,Health care,Health care,Occupational Therapist,,95000,0,USD,,I work PRN (per diem) which typically pays more hourly due to no benefits,United States,North Carolina,Western NC,On-site,No,11-20 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
5-7-2024 19:59:35,35-44,Nonprofits,Administration,Senior Administrative Specialist,,58504,0,USD,,,United States,Washington,Seattle,Fully remote,No,5-7 years,2-4 years,College degree,Woman,White,,,,,,
